Section ID,Block ID,Subject Code,Teacher Name,Room Name,Day,Start Time,End Time,Semester
3,41,GEN_101,Mark Villanueva,Room 112,Friday,7:00:00,7:30:00,1
3,51,GEN_111,Gregory Delos Santos,Room 127,Friday,7:00:00,7:30:00,2
3,42,GEN_102,Carlos Torres,Speech Lab 2,Friday,7:30:00,8:00:00,1
3,52,GEN_112,Angela Morales,Room 102,Friday,7:30:00,8:00:00,2
3,43,GEN_103,Ricardo Manalo,Room 122,Friday,8:00:00,8:30:00,1
3,53,GEN_113,Angela Navarro,Speech Lab 2,Friday,8:00:00,8:30:00,2
3,44,GEN_104,Vincent Lim,Room 124,Friday,8:30:00,9:00:00,1
3,54,GEN_114,Marites Santos,Room 128,Friday,8:30:00,9:00:00,2
3,45,GEN_105,Pedro Gonzalez,General Science Lab 5,Friday,9:00:00,9:30:00,1
3,55,GEN_115,Diana Gutierrez,Room 107,Friday,9:00:00,9:30:00,2
3,46,GEN_106,Robert Torres,Room 129,Friday,10:00:00,10:30:00,1
3,56,GEN_116,Pedro Gonzalez,General Science Lab 4,Friday,10:00:00,10:30:00,2
3,47,GEN_107,Daniel Garcia,Room 127,Friday,10:30:00,11:00:00,1
3,57,GEN_117,Michelle Reyes,Psychology Lab 2,Friday,10:30:00,11:00:00,2
3,48,GEN_108,Christine Lopez,Computer Lab 10,Friday,11:00:00,11:30:00,1
3,58,GEN_118,Daniel Garcia,Room 119,Friday,11:00:00,11:30:00,2
3,49,GEN_109,Lorena Mendoza,Room 128,Friday,11:30:00,12:00:00,1
3,59,GEN_119,Samuel Martinez,Speech Lab 2,Friday,11:30:00,12:00:00,2
3,50,GEN_110,Emilio Tan,Engineering Lab 1,Friday,13:00:00,13:30:00,1
3,62,HUMSS_103,Gregory Delos Santos,Room 116,Friday,13:00:00,13:30:00,2
3,60,HUMSS_101,Juan Cruz,Room 121,Friday,13:30:00,14:00:00,1
3,63,HUMSS_104,Anthony Salvador,Room 116,Friday,13:30:00,14:00:00,2
3,61,HUMSS_102,Beatrice Castillo,Room 112,Friday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Room 112,Monday,7:00:00,7:30:00,1
3,51,GEN_111,Gregory Delos Santos,Room 127,Monday,7:00:00,7:30:00,2
3,42,GEN_102,Carlos Torres,Speech Lab 2,Monday,7:30:00,8:00:00,1
3,52,GEN_112,Angela Morales,Room 102,Monday,7:30:00,8:00:00,2
3,43,GEN_103,Ricardo Manalo,Room 122,Monday,8:00:00,8:30:00,1
3,53,GEN_113,Angela Navarro,Speech Lab 2,Monday,8:00:00,8:30:00,2
3,44,GEN_104,Vincent Lim,Room 124,Monday,8:30:00,9:00:00,1
3,54,GEN_114,Marites Santos,Room 128,Monday,8:30:00,9:00:00,2
3,45,GEN_105,Pedro Gonzalez,General Science Lab 5,Monday,9:00:00,9:30:00,1
3,55,GEN_115,Diana Gutierrez,Room 107,Monday,9:00:00,9:30:00,2
3,46,GEN_106,Robert Torres,Room 129,Monday,10:00:00,10:30:00,1
3,56,GEN_116,Pedro Gonzalez,General Science Lab 4,Monday,10:00:00,10:30:00,2
3,47,GEN_107,Daniel Garcia,Room 127,Monday,10:30:00,11:00:00,1
3,57,GEN_117,Michelle Reyes,Psychology Lab 2,Monday,10:30:00,11:00:00,2
3,48,GEN_108,Christine Lopez,Computer Lab 10,Monday,11:00:00,11:30:00,1
3,58,GEN_118,Daniel Garcia,Room 119,Monday,11:00:00,11:30:00,2
3,49,GEN_109,Lorena Mendoza,Room 128,Monday,11:30:00,12:00:00,1
3,59,GEN_119,Samuel Martinez,Speech Lab 2,Monday,11:30:00,12:00:00,2
3,50,GEN_110,Emilio Tan,Engineering Lab 1,Monday,13:00:00,13:30:00,1
3,62,HUMSS_103,Gregory Delos Santos,Room 116,Monday,13:00:00,13:30:00,2
3,60,HUMSS_101,Juan Cruz,Room 121,Monday,13:30:00,14:00:00,1
3,63,HUMSS_104,Anthony Salvador,Room 116,Monday,13:30:00,14:00:00,2
3,61,HUMSS_102,Beatrice Castillo,Room 112,Monday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Room 112,Saturday,7:00:00,7:30:00,1
3,51,GEN_111,Gregory Delos Santos,Room 127,Saturday,7:00:00,7:30:00,2
3,42,GEN_102,Carlos Torres,Speech Lab 2,Saturday,7:30:00,8:00:00,1
3,52,GEN_112,Angela Morales,Room 102,Saturday,7:30:00,8:00:00,2
3,43,GEN_103,Ricardo Manalo,Room 122,Saturday,8:00:00,8:30:00,1
3,53,GEN_113,Angela Navarro,Speech Lab 2,Saturday,8:00:00,8:30:00,2
3,44,GEN_104,Vincent Lim,Room 124,Saturday,8:30:00,9:00:00,1
3,54,GEN_114,Marites Santos,Room 128,Saturday,8:30:00,9:00:00,2
3,45,GEN_105,Pedro Gonzalez,General Science Lab 5,Saturday,9:00:00,9:30:00,1
3,55,GEN_115,Diana Gutierrez,Room 107,Saturday,9:00:00,9:30:00,2
3,46,GEN_106,Robert Torres,Room 129,Saturday,10:00:00,10:30:00,1
3,56,GEN_116,Pedro Gonzalez,General Science Lab 4,Saturday,10:00:00,10:30:00,2
3,47,GEN_107,Daniel Garcia,Room 127,Saturday,10:30:00,11:00:00,1
3,57,GEN_117,Michelle Reyes,Psychology Lab 2,Saturday,10:30:00,11:00:00,2
3,48,GEN_108,Christine Lopez,Computer Lab 10,Saturday,11:00:00,11:30:00,1
3,58,GEN_118,Daniel Garcia,Room 119,Saturday,11:00:00,11:30:00,2
3,49,GEN_109,Lorena Mendoza,Room 128,Saturday,11:30:00,12:00:00,1
3,59,GEN_119,Samuel Martinez,Speech Lab 2,Saturday,11:30:00,12:00:00,2
3,50,GEN_110,Emilio Tan,Engineering Lab 1,Saturday,13:00:00,13:30:00,1
3,62,HUMSS_103,Gregory Delos Santos,Room 116,Saturday,13:00:00,13:30:00,2
3,60,HUMSS_101,Juan Cruz,Room 121,Saturday,13:30:00,14:00:00,1
3,63,HUMSS_104,Anthony Salvador,Room 116,Saturday,13:30:00,14:00:00,2
3,61,HUMSS_102,Beatrice Castillo,Room 112,Saturday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Room 112,Thursday,7:00:00,7:30:00,1
3,51,GEN_111,Gregory Delos Santos,Room 127,Thursday,7:00:00,7:30:00,2
3,42,GEN_102,Carlos Torres,Speech Lab 2,Thursday,7:30:00,8:00:00,1
3,52,GEN_112,Angela Morales,Room 102,Thursday,7:30:00,8:00:00,2
3,43,GEN_103,Ricardo Manalo,Room 122,Thursday,8:00:00,8:30:00,1
3,53,GEN_113,Angela Navarro,Speech Lab 2,Thursday,8:00:00,8:30:00,2
3,44,GEN_104,Vincent Lim,Room 124,Thursday,8:30:00,9:00:00,1
3,54,GEN_114,Marites Santos,Room 128,Thursday,8:30:00,9:00:00,2
3,45,GEN_105,Pedro Gonzalez,General Science Lab 5,Thursday,9:00:00,9:30:00,1
