Section ID,Block ID,Subject Code,Room Name,Day,Start Time,End Time,Semester
1,13,GEN_113,Speech Lab 2,Friday,8:00:00,8:30:00,2
1,13,GEN_113,Speech Lab 2,Monday,8:00:00,8:30:00,2
1,13,GEN_113,Speech Lab 2,Saturday,8:00:00,8:30:00,2
1,13,GEN_113,Speech Lab 2,Thursday,8:00:00,8:30:00,2
1,13,GEN_113,Speech Lab 2,Tuesday,8:00:00,8:30:00,2
1,13,GEN_113,Speech Lab 2,Wednesday,8:00:00,8:30:00,2
5,94,GEN_113,Speech Lab 2,Friday,8:00:00,8:30:00,2
5,94,GEN_113,Speech Lab 2,Monday,8:00:00,8:30:00,2
5,94,GEN_113,Speech Lab 2,Saturday,8:00:00,8:30:00,2
5,94,GEN_113,Speech Lab 2,Thursday,8:00:00,8:30:00,2
5,94,GEN_113,Speech Lab 2,Tuesday,8:00:00,8:30:00,2
5,94,GEN_113,Speech Lab 2,Wednesday,8:00:00,8:30:00,2
