Teacher ID,Teacher Name,Subject,Subject Code,Room ID,Day,Time Duration
AC_T3,Dr. Henry Morgan,Fundamentals of Accounting,AC101.1,R050,Wednesday,9:00:00 - 11:00:00
AC_T4,Prof. Linda Foster,Business Mathematics,AC102.1,R003,Saturday,9:00:00 - 11:00:00
AC_T5,Dr. Christopher Hill,Microeconomics,AC103.1,R175,Thursday,9:00:00 - 11:00:00
AC_T6,Prof. Jennifer Adams,Business Communication,AC104.1,R035,Tuesday,9:00:00 - 11:00:00
BA_T1,Prof. Christopher Scott,Principles of Management,BA101.1,R020,Wednesday,9:00:00 - 11:00:00
BA_T2,Dr. Patricia Lopez,Financial Accounting,BA102.1,R017,Saturday,9:00:00 - 11:00:00
BA_T3,Dr. Patrick Walker,Microeconomics,BA103.1,R166,Thursday,9:00:00 - 11:00:00
BA_T4,Prof. Rachel Lewis,Business Mathematics,BA104.1,R006,Tuesday,9:00:00 - 11:00:00
BA_T5,Dr. Daniel Martinez,Marketing Management,BA201.1,R029,Monday,9:00:00 - 11:00:00
BA_T6,Prof. Stephanie Garcia,Business Law & Ethics,BA202.1,R159,Friday,9:00:00 - 11:00:00
BSN_T1,Dr. Sophia Martinez,Human Anatomy & Physiology,BSN101.1,R171,Tuesday,9:00:00 - 11:00:00
BSN_T1,Dr. Sophia Martinez,Human Anatomy & Physiology,BSN101.2,R045,Wednesday,9:00:00 - 12:00:00
BSN_T2,Prof. William Garcia,Biochemistry,BSN102.1,R241,Monday,9:00:00 - 11:00:00
BSN_T3,Dr. Olivia Robinson,Pharmacology,BSN201.1,R049,Tuesday,9:00:00 - 11:00:00
BSN_T4,Dr. Laura Mitchell,Microbiology,BSN103.1,R235,Friday,9:00:00 - 11:00:00
BSN_T5,Prof. James Carter,Fundamentals of Nursing,BSN104.1,R041,Thursday,9:00:00 - 11:00:00
BSN_T6,Dr. Sarah Brooks,Pathophysiology,BSN202.1,R164,Monday,9:00:00 - 11:00:00
BSN_T7,Prof. Joshua Parker,Medical-Surgical Nursing,BSN203.1,R215,Friday,9:00:00 - 11:00:00
