Section ID,Block ID,Subject Code,Teacher Name,Day,Start Time,End Time,Semester
2,36,GEN_132,Camille Reyes,Friday,9:00:00,9:30:00,2
2,36,GEN_132,Camille Reyes,Monday,9:00:00,9:30:00,2
2,36,GEN_132,Camille Reyes,Saturday,9:00:00,9:30:00,2
2,36,GEN_132,Camille Reyes,Thursday,9:00:00,9:30:00,2
2,36,GEN_132,Camille Reyes,Tuesday,9:00:00,9:30:00,2
2,36,GEN_132,Camille Reyes,Wednesday,9:00:00,9:30:00,2
3,41,GEN_101,Mark Villanueva,Friday,7:00:00,7:30:00,1
3,61,HUMSS_102,Beatrice Castillo,Friday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Monday,7:00:00,7:30:00,1
3,61,HUMSS_102,Beatrice Castillo,Monday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Saturday,7:00:00,7:30:00,1
3,61,HUMSS_102,Beatrice Castillo,Saturday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Thursday,7:00:00,7:30:00,1
3,61,HUMSS_102,Beatrice Castillo,Thursday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Tuesday,7:00:00,7:30:00,1
3,61,HUMSS_102,Beatrice Castillo,Tuesday,14:00:00,14:30:00,1
3,41,GEN_101,Mark Villanueva,Wednesday,7:00:00,7:30:00,1
3,61,HUMSS_102,Beatrice Castillo,Wednesday,14:00:00,14:30:00,1
4,68,GEN_124,Daniel Lopez,Friday,9:00:00,9:30:00,1
4,79,HUMSS_107,Bryan Santos,Friday,10:00:00,10:30:00,2
4,68,GEN_124,Daniel Lopez,Monday,9:00:00,9:30:00,1
4,79,HUMSS_107,Bryan Santos,Monday,10:00:00,10:30:00,2
4,68,GEN_124,Daniel Lopez,Saturday,9:00:00,9:30:00,1
4,79,HUMSS_107,Bryan Santos,Saturday,10:00:00,10:30:00,2
4,68,GEN_124,Daniel Lopez,Thursday,9:00:00,9:30:00,1
4,79,HUMSS_107,Bryan Santos,Thursday,10:00:00,10:30:00,2
4,68,GEN_124,Daniel Lopez,Tuesday,9:00:00,9:30:00,1
4,79,HUMSS_107,Bryan Santos,Tuesday,10:00:00,10:30:00,2
4,68,GEN_124,Daniel Lopez,Wednesday,9:00:00,9:30:00,1
4,79,HUMSS_107,Bryan Santos,Wednesday,10:00:00,10:30:00,2
6,123,STEM_110,Francis Torres,Friday,11:00:00,11:30:00,2
6,123,STEM_110,Francis Torres,Monday,11:00:00,11:30:00,2
6,123,STEM_110,Francis Torres,Saturday,11:00:00,11:30:00,2
6,123,STEM_110,Francis Torres,Thursday,11:00:00,11:30:00,2
6,123,STEM_110,Francis Torres,Tuesday,11:00:00,11:30:00,2
6,123,STEM_110,Francis Torres,Wednesday,11:00:00,11:30:00,2
