Section ID,Block ID,Subject Code,Teacher Name,Day,Start Time,End Time,Semester
6,122,STEM_109,Angela Lopez,Friday,10:30:00,11:00:00,2
6,120,STEM_107,Carla Ramirez,Friday,13:00:00,13:30:00,1
6,122,STEM_109,Angela Lopez,Monday,10:30:00,11:00:00,2
6,120,STEM_107,Carla Ramirez,Monday,13:00:00,13:30:00,1
6,122,STEM_109,Angela Lopez,Saturday,10:30:00,11:00:00,2
6,120,STEM_107,Carla Ramirez,Saturday,13:00:00,13:30:00,1
6,122,STEM_109,Angela Lopez,Thursday,10:30:00,11:00:00,2
6,120,STEM_107,Carla Ramirez,Thursday,13:00:00,13:30:00,1
6,122,STEM_109,Angela Lopez,Tuesday,10:30:00,11:00:00,2
6,120,STEM_107,Carla Ramirez,Tuesday,13:00:00,13:30:00,1
6,122,STEM_109,Angela Lopez,Wednesday,10:30:00,11:00:00,2
6,120,STEM_107,Carla Ramirez,Wednesday,13:00:00,13:30:00,1
