Section ID,Block ID,Subject Code,Teacher Name,Day,Start Time,End Time,Semester
2,34,GEN_130,Joseph Garcia,Friday,10:30:00,11:00:00,2
2,34,GEN_130,Joseph Garcia,Monday,10:30:00,11:00:00,2
2,34,GEN_130,Joseph Garcia,Saturday,10:30:00,11:00:00,2
2,34,GEN_130,Joseph Garcia,Thursday,10:30:00,11:00:00,2
2,34,GEN_130,Joseph Garcia,Tuesday,10:30:00,11:00:00,2
2,34,GEN_130,Joseph Garcia,Wednesday,10:30:00,11:00:00,2
4,72,GEN_128,Elena Ramos,Friday,10:00:00,10:30:00,2
4,81,HUMSS_109,Francis Castillo,Friday,14:30:00,15:00:00,2
4,72,GEN_128,Elena Ramos,Monday,10:00:00,10:30:00,2
4,81,HUMSS_109,Francis Castillo,Monday,14:30:00,15:00:00,2
4,72,GEN_128,Elena Ramos,Saturday,10:00:00,10:30:00,2
4,81,HUMSS_109,Francis Castillo,Saturday,14:30:00,15:00:00,2
4,72,GEN_128,Elena Ramos,Thursday,10:00:00,10:30:00,2
4,81,HUMSS_109,Francis Castillo,Thursday,14:30:00,15:00:00,2
4,72,GEN_128,Elena Ramos,Tuesday,10:00:00,10:30:00,2
4,81,HUMSS_109,Francis Castillo,Tuesday,14:30:00,15:00:00,2
4,72,GEN_128,Elena Ramos,Wednesday,10:00:00,10:30:00,2
4,81,HUMSS_109,Francis Castillo,Wednesday,14:30:00,15:00:00,2
