Section ID,Block ID,Subject Code,Teacher Name,Day,Start Time,End Time,Semester
1,17,GEN_117,Michelle Reyes,Friday,11:30:00,12:00:00,2
1,17,GEN_117,Michelle Reyes,Monday,11:30:00,12:00:00,2
1,17,GEN_117,Michelle Reyes,Saturday,11:30:00,12:00:00,2
1,17,GEN_117,Michelle Reyes,Thursday,11:30:00,12:00:00,2
1,17,GEN_117,Michelle Reyes,Tuesday,11:30:00,12:00:00,2
1,17,GEN_117,Michelle Reyes,Wednesday,11:30:00,12:00:00,2
3,57,GEN_117,Julia Fernandez,Friday,11:00:00,11:30:00,2
3,57,GEN_117,Julia Fernandez,Monday,11:00:00,11:30:00,2
3,57,GEN_117,Julia Fernandez,Saturday,11:00:00,11:30:00,2
3,57,GEN_117,Julia Fernandez,Thursday,11:00:00,11:30:00,2
3,57,GEN_117,Julia Fernandez,Tuesday,11:00:00,11:30:00,2
3,57,GEN_117,Julia Fernandez,Wednesday,11:00:00,11:30:00,2
5,98,GEN_117,Michelle Reyes,Friday,13:00:00,13:30:00,2
5,98,GEN_117,Michelle Reyes,Monday,13:00:00,13:30:00,2
5,98,GEN_117,Michelle Reyes,Saturday,13:00:00,13:30:00,2
5,98,GEN_117,Michelle Reyes,Thursday,13:00:00,13:30:00,2
5,98,GEN_117,Michelle Reyes,Tuesday,13:00:00,13:30:00,2
5,98,GEN_117,Michelle Reyes,Wednesday,13:00:00,13:30:00,2
