Section ID,Block ID,Subject Code,Teacher Name,Day,Start Time,End Time,Semester
3,60,HUMSS_101,Juan Cruz,Friday,10:30:00,11:00:00,1
3,41,GEN_101,Mark Villanueva,Friday,13:00:00,13:30:00,1
3,60,HUMSS_101,Juan Cruz,Monday,10:00:00,10:30:00,1
3,41,GEN_101,Mark Villanueva,Monday,13:00:00,13:30:00,1
3,60,HUMSS_101,Juan Cruz,Saturday,10:00:00,10:30:00,1
3,41,GEN_101,Mark Villanueva,Saturday,13:00:00,13:30:00,1
3,60,HUMSS_101,Juan Cruz,Thursday,10:30:00,11:00:00,1
3,41,GEN_101,Mark Villanueva,Thursday,13:00:00,13:30:00,1
3,60,HUMSS_101,Juan Cruz,Tuesday,10:00:00,10:30:00,1
3,41,GEN_101,Mark Villanueva,Tuesday,13:00:00,13:30:00,1
3,60,HUMSS_101,Juan Cruz,Wednesday,10:30:00,11:00:00,1
3,41,GEN_101,Mark Villanueva,Wednesday,13:00:00,13:30:00,1
